state,latitude,longitude,date,poverty_absolute,income_mean,income_median,gini,expenditure_mean,expenditure-to-income-ratio,unemployment_rate,participation_rate,region
Johor,1.4854,103.7618,1/1/2022,4.6,8517,6879,0.36646,5342,0.627216156,2.75,69.46666667,Southern
Kedah,6.1184,100.3681,1/1/2022,9,5550,4402,0.35938,3765,0.678378378,3.25,66.06666667,East Coast
Kelantan,5.7456,102.1976,1/1/2022,13.2,4885,3614,0.3854,3505,0.717502559,3.85,61.23333333,Northern
Melaka,2.1896,102.2501,1/1/2022,4.2,8057,6210,0.36963,5707,0.708328162,2.875,68.3,Southern
Negeri Sembilan,2.7255,101.9424,1/1/2022,4.4,6788,5226,0.36853,4678,0.689157336,3.05,66.26666667,Southern
Pahang,3.8126,103.3256,1/1/2022,6.3,5777,4753,0.3077,4107,0.710922624,2.675,65.03333333,East Coast
Perak,4.5921,101.0901,1/1/2022,7.5,5779,4494,0.37058,5322,0.920920574,3.325,65.93333333,Northern
Perlis,6.4431,100.1983,1/1/2022,4,5664,4713,0.36769,3903,0.689088983,2.85,65.53333333,Northern
Pulau Pinang,5.4141,100.3288,1/1/2022,2,8267,6502,0.33589,3834,0.463771622,2.775,71.3,Northern
Sabah,5.978,116.0753,1/1/2022,19.7,6171,4577,0.36123,6770,1.097066926,8.5,69.03333333,East Malaysia
Sarawak,1.5533,110.3592,1/1/2022,10.8,6457,4978,0.32631,4796,0.742759796,3.15,70.13333333,East Malaysia
Selangor,3.0738,101.5183,1/1/2022,1.5,12233,9983,0.39491,3342,0.273195455,3.05,75.7,Central
Terengganu,5.3117,103.1324,1/1/2022,6.2,7248,5878,0.3818,3915,0.540149007,4.375,59.2,East Coast
W.P. Kuala Lumpur,3.139,101.6869,1/1/2022,1.4,13325,10234,0.3796,7823,0.587091932,3.95,73.33333333,Central
W.P. Labuan,5.2831,115.2308,1/1/2022,2.5,8250,6904,0.30028,4176,0.506181818,6.375,66.86666667,East Malaysia
W.P. Putrajaya,2.9264,101.6964,1/1/2022,0.1,13473,10056,0.3678,8897,0.660357753,1.125,73.33333333,Central
