year,income_group,ethnicity,percentage_population,percentage_ethnicity,total_population_year,population_income_group_year,population_ethnicity_year,population_ethnicity_income_group_year
2022,B40,Chinese,0.161,15.4,32698.2,5264.4102,6873.7,1058.5498
2022,M40,Chinese,0.376,37.9,32698.2,12294.5232,6873.7,2605.1323
2022,T20,Chinese,0.463,46.7,32698.2,15139.2666,6873.7,3210.0179
2022,B40,Indian,0.161,16.3,32698.2,5264.4102,1999.9,325.9837
2022,M40,Indian,0.376,36.9,32698.2,12294.5232,1999.9,737.9631
2022,T20,Indian,0.463,46.8,32698.2,15139.2666,1999.9,935.9532
2022,B40,Malay,0.161,16.9,32698.2,5264.4102,21101.8,3566.2042
2022,M40,Malay,0.376,38,32698.2,12294.5232,21101.8,8018.684
2022,T20,Malay,0.463,45.1,32698.2,15139.2666,21101.8,9516.9118
2022,B40,Others,0.161,17.1,32698.2,5264.4102,2722.8,465.5988
2022,M40,Others,0.376,36,32698.2,12294.5232,2722.8,980.208
2022,T20,Others,0.463,47,32698.2,15139.2666,2722.8,1279.716
2019,B40,Chinese,0.16,15.2,32522.8,5203.648,6698.6,1018.1872
2019,M40,Chinese,0.372,37.5,32522.8,12098.4816,6698.6,2511.975
2019,T20,Chinese,0.468,47.3,32522.8,15220.6704,6698.6,3168.4378
2019,B40,Indian,0.16,16.1,32522.8,5203.648,2014.8,324.3828
2019,M40,Indian,0.372,36.3,32522.8,12098.4816,2014.8,731.3724
2019,T20,Indian,0.468,47.6,32522.8,15220.6704,2014.8,959.0448
2019,B40,Malay,0.16,16.8,32522.8,5203.648,20369.3,3422.0424
2019,M40,Malay,0.372,37.8,32522.8,12098.4816,20369.3,7699.5954
2019,T20,Malay,0.468,45.4,32522.8,15220.6704,20369.3,9247.6622
2019,B40,Others,0.16,17.1,32522.8,5203.648,3440.1,588.2571
2019,M40,Others,0.372,35.3,32522.8,12098.4816,3440.1,1214.3553
2019,T20,Others,0.468,47.6,32522.8,15220.6704,3440.1,1637.4876
2016,B40,Chinese,0.164,15.8,31633.4,5187.8776,6645.7,1050.0206
2016,M40,Chinese,0.374,37.3,31633.4,11830.8916,6645.7,2478.8461
2016,T20,Chinese,0.462,46.9,31633.4,14614.6308,6645.7,3116.8333
2016,B40,Indian,0.164,17.5,31633.4,5187.8776,1991.6,348.53
2016,M40,Indian,0.374,37.3,31633.4,11830.8916,1991.6,742.8668
2016,T20,Indian,0.462,45.2,31633.4,14614.6308,1991.6,900.2032
2016,B40,Malay,0.164,17,31633.4,5187.8776,19485.2,3312.484
2016,M40,Malay,0.374,38,31633.4,11830.8916,19485.2,7404.376
2016,T20,Malay,0.462,45,31633.4,14614.6308,19485.2,8768.34
2016,B40,Others,0.164,17.2,31633.4,5187.8776,3510.9,603.8748
2016,M40,Others,0.374,36.2,31633.4,11830.8916,3510.9,1270.9458
2016,T20,Others,0.462,46.5,31633.4,14614.6308,3510.9,1632.5685
